"BinningTool"	"AssemblyTool"	"absolute"	"relative"	"Category"
"concoct"	"idba_ud"	55	45.8333333333333	"Chromosome"
"concoct"	"megahit"	60	50	"Chromosome"
"concoct"	"metaspades"	64	53.3333333333333	"Chromosome"
"dastool"	"idba_ud"	54	45	"Chromosome"
"dastool"	"megahit"	55	45.8333333333333	"Chromosome"
"dastool"	"metaspades"	60	50	"Chromosome"
"maxbin2"	"idba_ud"	37	30.8333333333333	"Chromosome"
"maxbin2"	"megahit"	43	35.8333333333333	"Chromosome"
"maxbin2"	"metaspades"	49	40.8333333333333	"Chromosome"
"metabat2"	"idba_ud"	50	41.6666666666667	"Chromosome"
"metabat2"	"megahit"	53	44.1666666666667	"Chromosome"
"metabat2"	"metaspades"	59	49.1666666666667	"Chromosome"
"concoct"	"idba_ud"	0	0	"Plasmid"
"concoct"	"megahit"	0	0	"Plasmid"
"concoct"	"metaspades"	0	0	"Plasmid"
"dastool"	"idba_ud"	0	0	"Plasmid"
"dastool"	"megahit"	0	0	"Plasmid"
"dastool"	"metaspades"	0	0	"Plasmid"
"maxbin2"	"idba_ud"	0	0	"Plasmid"
"maxbin2"	"megahit"	0	0	"Plasmid"
"maxbin2"	"metaspades"	0	0	"Plasmid"
"metabat2"	"idba_ud"	0	0	"Plasmid"
"metabat2"	"megahit"	0	0	"Plasmid"
"metabat2"	"metaspades"	0	0	"Plasmid"
"concoct"	"idba_ud"	5	45.4545454545455	"Genomic Island"
"concoct"	"megahit"	5	45.4545454545455	"Genomic Island"
"concoct"	"metaspades"	5	45.4545454545455	"Genomic Island"
"dastool"	"idba_ud"	4	36.3636363636364	"Genomic Island"
"dastool"	"megahit"	4	36.3636363636364	"Genomic Island"
"dastool"	"metaspades"	5	45.4545454545455	"Genomic Island"
"maxbin2"	"idba_ud"	1	9.09090909090909	"Genomic Island"
"maxbin2"	"megahit"	2	18.1818181818182	"Genomic Island"
"maxbin2"	"metaspades"	1	9.09090909090909	"Genomic Island"
"metabat2"	"megahit"	4	36.3636363636364	"Genomic Island"
"metabat2"	"metaspades"	4	36.3636363636364	"Genomic Island"
"metabat2"	"idba_ud"	0	0	"Genomic Island"
