"BinningTool"	"AssemblyTool"	"absolute"	"relative"	"Category"
"concoct"	"idba_ud"	74	49.3333333333333	"Assembled"
"concoct"	"megahit"	75	50	"Assembled"
"concoct"	"metaspades"	82	54.6666666666667	"Assembled"
"dastool"	"idba_ud"	74	49.3333333333333	"Assembled"
"dastool"	"megahit"	75	50	"Assembled"
"dastool"	"metaspades"	82	54.6666666666667	"Assembled"
"maxbin2"	"idba_ud"	74	49.3333333333333	"Assembled"
"maxbin2"	"megahit"	75	50	"Assembled"
"maxbin2"	"metaspades"	82	54.6666666666667	"Assembled"
"metabat2"	"idba_ud"	74	49.3333333333333	"Assembled"
"metabat2"	"megahit"	75	50	"Assembled"
"metabat2"	"metaspades"	82	54.6666666666667	"Assembled"
"concoct"	"idba_ud"	73	48.6666666666667	"Binned"
"concoct"	"megahit"	71	47.3333333333333	"Binned"
"concoct"	"metaspades"	80	53.3333333333333	"Binned"
"dastool"	"idba_ud"	60	40	"Binned"
"dastool"	"megahit"	57	38	"Binned"
"dastool"	"metaspades"	68	45.3333333333333	"Binned"
"maxbin2"	"idba_ud"	65	43.3333333333333	"Binned"
"maxbin2"	"megahit"	68	45.3333333333333	"Binned"
"maxbin2"	"metaspades"	78	52	"Binned"
"metabat2"	"idba_ud"	55	36.6666666666667	"Binned"
"metabat2"	"megahit"	55	36.6666666666667	"Binned"
"metabat2"	"metaspades"	66	44	"Binned"
"concoct"	"idba_ud"	55	36.6666666666667	"Correctly Binned"
"concoct"	"megahit"	60	40	"Correctly Binned"
"concoct"	"metaspades"	64	42.6666666666667	"Correctly Binned"
"dastool"	"idba_ud"	54	36	"Correctly Binned"
"dastool"	"megahit"	55	36.6666666666667	"Correctly Binned"
"dastool"	"metaspades"	60	40	"Correctly Binned"
"maxbin2"	"idba_ud"	37	24.6666666666667	"Correctly Binned"
"maxbin2"	"megahit"	43	28.6666666666667	"Correctly Binned"
"maxbin2"	"metaspades"	49	32.6666666666667	"Correctly Binned"
"metabat2"	"idba_ud"	50	33.3333333333333	"Correctly Binned"
"metabat2"	"megahit"	53	35.3333333333333	"Correctly Binned"
"metabat2"	"metaspades"	59	39.3333333333333	"Correctly Binned"
