,binner,assembly,bin,species
0,concoct,idba_ud,0.fa_chroms.out6,1
1,concoct,idba_ud,12.fa_chroms.out6,2
2,concoct,idba_ud,13.fa_chroms.out6,1
3,concoct,idba_ud,14.fa_chroms.out6,1
4,concoct,idba_ud,15.fa_chroms.out6,1
5,concoct,idba_ud,17.fa_chroms.out6,2
6,concoct,idba_ud,20.fa_chroms.out6,1
7,concoct,idba_ud,21.fa_chroms.out6,1
8,concoct,idba_ud,25.fa_chroms.out6,1
9,concoct,idba_ud,26.fa_chroms.out6,2
10,concoct,idba_ud,27.fa_chroms.out6,1
11,concoct,idba_ud,32.fa_chroms.out6,2
12,concoct,idba_ud,33.fa_chroms.out6,1
13,concoct,idba_ud,35.fa_chroms.out6,4
14,concoct,idba_ud,36.fa_chroms.out6,1
15,concoct,idba_ud,39.fa_chroms.out6,1
16,concoct,idba_ud,4.fa_chroms.out6,1
17,concoct,idba_ud,40.fa_chroms.out6,1
18,concoct,idba_ud,41.fa_chroms.out6,1
19,concoct,idba_ud,42.fa_chroms.out6,2
20,concoct,idba_ud,44.fa_chroms.out6,1
21,concoct,idba_ud,46.fa_chroms.out6,4
22,concoct,idba_ud,5.fa_chroms.out6,1
23,concoct,idba_ud,7.fa_chroms.out6,4
24,concoct,idba_ud,8.fa_chroms.out6,1
25,concoct,idba_ud,9.fa_chroms.out6,1
26,concoct,megahit,0.fa_chroms.out6,1
27,concoct,megahit,1.fa_chroms.out6,2
28,concoct,megahit,10.fa_chroms.out6,3
29,concoct,megahit,12.fa_chroms.out6,1
30,concoct,megahit,13.fa_chroms.out6,2
31,concoct,megahit,16.fa_chroms.out6,1
32,concoct,megahit,17.fa_chroms.out6,1
33,concoct,megahit,18.fa_chroms.out6,1
34,concoct,megahit,2.fa_chroms.out6,1
35,concoct,megahit,22.fa_chroms.out6,1
36,concoct,megahit,23.fa_chroms.out6,4
37,concoct,megahit,24.fa_chroms.out6,1
38,concoct,megahit,25.fa_chroms.out6,1
39,concoct,megahit,26.fa_chroms.out6,1
40,concoct,megahit,3.fa_chroms.out6,1
41,concoct,megahit,30.fa_chroms.out6,1
42,concoct,megahit,33.fa_chroms.out6,1
43,concoct,megahit,35.fa_chroms.out6,4
44,concoct,megahit,36.fa_chroms.out6,1
45,concoct,megahit,39.fa_chroms.out6,1
46,concoct,megahit,40.fa_chroms.out6,1
47,concoct,megahit,41.fa_chroms.out6,4
48,concoct,megahit,43.fa_chroms.out6,1
49,concoct,megahit,46.fa_chroms.out6,2
50,concoct,megahit,6.fa_chroms.out6,2
