"BinningTool"	"AssemblyTool"	"absolute"	"relative"	"Category"
"concoct"	"idba_ud"	1088	62.3853211009174	"Assembled"
"concoct"	"megahit"	1115	63.9334862385321	"Assembled"
"concoct"	"metaspades"	962	55.1605504587156	"Assembled"
"dastool"	"idba_ud"	1088	62.3853211009174	"Assembled"
"dastool"	"megahit"	1115	63.9334862385321	"Assembled"
"dastool"	"metaspades"	962	55.1605504587156	"Assembled"
"maxbin2"	"idba_ud"	1088	62.3853211009174	"Assembled"
"maxbin2"	"megahit"	1115	63.9334862385321	"Assembled"
"maxbin2"	"metaspades"	962	55.1605504587156	"Assembled"
"metabat2"	"idba_ud"	1088	62.3853211009174	"Assembled"
"metabat2"	"megahit"	1115	63.9334862385321	"Assembled"
"metabat2"	"metaspades"	962	55.1605504587156	"Assembled"
"concoct"	"idba_ud"	767	43.9793577981651	"Binned"
"concoct"	"megahit"	795	45.5848623853211	"Binned"
"concoct"	"metaspades"	883	50.6307339449541	"Binned"
"dastool"	"idba_ud"	691	39.6215596330275	"Binned"
"dastool"	"megahit"	648	37.1559633027523	"Binned"
"dastool"	"metaspades"	662	37.9587155963303	"Binned"
"maxbin2"	"idba_ud"	763	43.75	"Binned"
"maxbin2"	"megahit"	801	45.9288990825688	"Binned"
"maxbin2"	"metaspades"	894	51.2614678899083	"Binned"
"metabat2"	"idba_ud"	645	36.9839449541284	"Binned"
"metabat2"	"megahit"	645	36.9839449541284	"Binned"
"metabat2"	"metaspades"	654	37.5	"Binned"
"concoct"	"idba_ud"	722	41.3990825688073	"Correctly Binned"
"concoct"	"megahit"	736	42.2018348623853	"Correctly Binned"
"concoct"	"metaspades"	744	42.6605504587156	"Correctly Binned"
"dastool"	"idba_ud"	676	38.7614678899083	"Correctly Binned"
"dastool"	"megahit"	645	36.9839449541284	"Correctly Binned"
"dastool"	"metaspades"	647	37.098623853211	"Correctly Binned"
"maxbin2"	"idba_ud"	581	33.3142201834862	"Correctly Binned"
"maxbin2"	"megahit"	554	31.7660550458716	"Correctly Binned"
"maxbin2"	"metaspades"	578	33.1422018348624	"Correctly Binned"
"metabat2"	"idba_ud"	643	36.8692660550459	"Correctly Binned"
"metabat2"	"megahit"	643	36.8692660550459	"Correctly Binned"
"metabat2"	"metaspades"	652	37.3853211009174	"Correctly Binned"
