contig	cov_mean_sample_idba_ud_perc100_sorted
contig-100_0.0	17.471
contig-100_0.1	16.511
contig-100_0.2	17.356
contig-100_0.3	16.232
contig-100_0.4	16.469
contig-100_0.5	16.500
contig-100_0.6	15.752
contig-100_0.7	15.232
contig-100_0.8	16.932
contig-100_0.9	17.281
contig-100_0.10	16.900
contig-100_0.11	16.783
contig-100_0.12	17.244
contig-100_0.13	16.088
contig-100_0.14	16.248
contig-100_0.15	16.695
contig-100_0.16	16.124
contig-100_0.17	17.651
contig-100_0.18	16.478
contig-100_0.19	17.209
contig-100_0.20	17.060
contig-100_0.21	15.390
contig-100_0.22	16.073
contig-100_0.23	16.191
contig-100_0.24	15.808
contig-100_0.25	15.375
contig-100_0.26	17.045
contig-100_0.27	16.481
contig-100_0.28	15.632
contig-100_0.29	14.409
contig-100_0.30	17.858
contig-100_0.31	18.213
contig-100_0.32	17.273
contig-100_0.33	17.057
contig-100_0.34	16.600
contig-100_0.35	17.230
contig-100_0.36	14.645
contig-100_0.37	16.832
contig-100_0.38	16.159
contig-100_0.39	15.330
contig-100_0.40	16.007
contig-100_0.41	15.688
contig-100_0.42	14.756
contig-100_0.43	17.621
contig-100_0.44	16.463
contig-100_0.45	16.831
contig-100_0.46	16.095
contig-100_0.47	17.272
contig-100_0.48	16.655
contig-100_0.49	16.524
contig-100_0.50	17.406
contig-100_0.51	16.036
contig-100_0.52	15.807
contig-100_0.53	16.574
contig-100_0.54	15.635
contig-100_0.55	16.225
contig-100_0.56	16.938
contig-100_0.57	16.710
contig-100_0.58	16.901
contig-100_0.59	15.998
contig-100_1.0	28.593
contig-100_1.1	29.216
contig-100_1.2	27.860
contig-100_1.3	29.254
contig-100_1.4	29.723
contig-100_1.5	27.895
contig-100_1.6	27.231
contig-100_1.7	27.508
contig-100_1.8	29.261
contig-100_1.9	28.501
contig-100_1.10	28.368
contig-100_1.11	28.384
contig-100_1.12	29.413
contig-100_1.13	28.980
contig-100_1.14	28.913
contig-100_1.15	28.722
contig-100_1.16	28.951
contig-100_1.17	29.646
contig-100_1.18	27.210
contig-100_1.19	27.453
contig-100_1.20	30.907
contig-100_1.21	27.640
contig-100_1.22	28.108
contig-100_1.23	26.212
contig-100_1.24	28.034
contig-100_1.25	29.381
contig-100_1.26	28.171
contig-100_1.27	28.596
contig-100_1.28	30.135
contig-100_1.29	29.248
contig-100_1.30	28.954
contig-100_1.31	30.104
contig-100_1.32	27.060
contig-100_1.33	30.151
contig-100_1.34	28.949
contig-100_1.35	28.675
contig-100_1.36	30.517
contig-100_1.37	28.415
contig-100_1.38	28.787
contig-100_1.39	25.903
contig-100_1.40	31.106
contig-100_1.41	30.282
contig-100_1.42	28.043
contig-100_1.43	26.797
contig-100_1.44	29.718
contig-100_1.45	29.471
contig-100_1.46	28.318
contig-100_1.47	30.250
contig-100_1.48	27.677
contig-100_1.49	29.876
contig-100_1.50	28.326
contig-100_1.51	26.579
contig-100_2.0	27.343
contig-100_2.1	28.697
contig-100_2.2	29.438
contig-100_2.3	29.466
contig-100_2.4	29.481
contig-100_2.5	28.030
contig-100_2.6	26.185
contig-100_2.7	27.769
contig-100_2.8	26.949
contig-100_2.9	28.039
contig-100_2.10	27.379
contig-100_2.11	29.588
contig-100_2.12	26.942
contig-100_2.13	27.431
contig-100_2.14	27.621
contig-100_2.15	28.589
contig-100_2.16	28.156
contig-100_2.17	28.557
contig-100_2.18	28.503
contig-100_2.19	29.502
contig-100_2.20	28.219
contig-100_2.21	28.775
contig-100_2.22	30.296
contig-100_2.23	28.558
contig-100_2.24	28.698
contig-100_2.25	31.166
contig-100_2.26	30.770
contig-100_2.27	28.835
contig-100_2.28	30.632
contig-100_2.29	28.112
contig-100_2.30	28.501
contig-100_2.31	29.842
contig-100_2.32	29.192
contig-100_2.33	28.143
contig-100_2.34	30.208
contig-100_2.35	29.527
contig-100_2.36	27.637
contig-100_2.37	29.593
contig-100_2.38	29.974
contig-100_2.39	29.689
contig-100_2.40	29.682
contig-100_2.41	29.496
contig-100_2.42	30.073
contig-100_2.43	28.107
contig-100_2.44	27.116
contig-100_2.45	30.043
contig-100_2.46	25.661
contig-100_2.47	30.550
contig-100_2.48	30.075
contig-100_2.49	28.743
contig-100_3.0	27.041
contig-100_3.1	31.423
contig-100_3.2	28.172
contig-100_3.3	26.942
contig-100_3.4	31.014
contig-100_3.5	28.045
contig-100_3.6	27.774
contig-100_3.7	25.434
contig-100_3.8	27.752
contig-100_3.9	28.202
contig-100_3.10	29.850
contig-100_3.11	28.289
contig-100_3.12	29.114
contig-100_3.13	28.850
contig-100_3.14	27.801
contig-100_3.15	26.690
contig-100_3.16	26.779
contig-100_3.17	26.907
contig-100_3.18	28.419
contig-100_3.19	26.414
contig-100_3.20	28.698
contig-100_3.21	30.901
contig-100_3.22	29.273
contig-100_3.23	28.922
contig-100_3.24	28.994
contig-100_3.25	26.517
contig-100_3.26	26.254
contig-100_3.27	31.142
contig-100_3.28	26.592
contig-100_3.29	28.646
contig-100_3.30	28.728
contig-100_3.31	28.176
contig-100_3.32	29.429
contig-100_3.33	28.433
contig-100_3.34	28.496
contig-100_3.35	28.622
contig-100_3.36	27.338
contig-100_3.37	28.423
contig-100_3.38	29.572
contig-100_3.39	27.750
contig-100_3.40	29.365
contig-100_3.41	29.957
contig-100_3.42	29.892
contig-100_3.43	30.065
contig-100_3.44	28.503
contig-100_3.45	30.688
contig-100_3.46	29.729
contig-100_4.0	10.616
contig-100_4.1	11.444
contig-100_4.2	12.861
contig-100_4.3	12.082
contig-100_4.4	11.939
contig-100_4.5	11.670
contig-100_4.6	11.902
contig-100_4.7	11.654
contig-100_4.8	11.664
contig-100_4.9	10.973
contig-100_4.10	12.058
contig-100_4.11	11.188
contig-100_4.12	11.349
contig-100_4.13	12.734
contig-100_4.14	11.652
contig-100_4.15	12.073
contig-100_4.16	12.725
contig-100_4.17	11.334
contig-100_4.18	11.971
contig-100_4.19	11.028
contig-100_4.20	11.319
contig-100_4.21	12.635
contig-100_4.22	12.804
contig-100_4.23	11.788
contig-100_4.24	12.162
contig-100_4.25	12.086
contig-100_4.26	12.099
contig-100_4.27	11.578
contig-100_4.28	11.238
contig-100_4.29	11.341
contig-100_4.30	11.707
contig-100_4.31	11.778
contig-100_4.32	12.209
contig-100_4.33	11.976
contig-100_4.34	13.384
contig-100_4.35	10.788
contig-100_4.36	11.729
contig-100_4.37	12.130
contig-100_4.38	12.689
contig-100_4.39	12.316
contig-100_4.40	10.537
contig-100_4.41	11.861
contig-100_4.42	10.856
contig-100_5.0	11.296
contig-100_5.1	10.721
contig-100_5.2	10.487
contig-100_5.3	12.065
contig-100_5.4	12.400
contig-100_5.5	11.657
contig-100_5.6	11.383
contig-100_5.7	13.316
contig-100_5.8	11.880
contig-100_5.9	10.886
contig-100_5.10	11.879
contig-100_5.11	12.204
contig-100_5.12	11.691
contig-100_5.13	11.428
contig-100_5.14	11.614
contig-100_5.15	12.027
contig-100_5.16	11.908
contig-100_5.17	12.081
contig-100_5.18	12.079
