contig	cov_mean_sample_metaspades_perc100_sorted
NODE_1_length_1422962_cov_22.155827.0	26.622
NODE_1_length_1422962_cov_22.155827.1	27.626
NODE_1_length_1422962_cov_22.155827.2	29.588
NODE_1_length_1422962_cov_22.155827.3	32.230
NODE_1_length_1422962_cov_22.155827.4	25.568
NODE_1_length_1422962_cov_22.155827.5	28.513
NODE_1_length_1422962_cov_22.155827.6	28.692
NODE_1_length_1422962_cov_22.155827.7	30.322
NODE_1_length_1422962_cov_22.155827.8	29.163
NODE_1_length_1422962_cov_22.155827.9	27.954
NODE_1_length_1422962_cov_22.155827.10	31.034
NODE_1_length_1422962_cov_22.155827.11	26.900
NODE_1_length_1422962_cov_22.155827.12	29.698
NODE_1_length_1422962_cov_22.155827.13	29.062
NODE_1_length_1422962_cov_22.155827.14	29.293
NODE_1_length_1422962_cov_22.155827.15	29.931
NODE_1_length_1422962_cov_22.155827.16	28.784
NODE_1_length_1422962_cov_22.155827.17	28.385
NODE_1_length_1422962_cov_22.155827.18	28.971
NODE_1_length_1422962_cov_22.155827.19	28.412
NODE_1_length_1422962_cov_22.155827.20	26.365
NODE_1_length_1422962_cov_22.155827.21	28.598
NODE_1_length_1422962_cov_22.155827.22	27.001
NODE_1_length_1422962_cov_22.155827.23	30.776
NODE_1_length_1422962_cov_22.155827.24	28.046
NODE_1_length_1422962_cov_22.155827.25	27.061
NODE_1_length_1422962_cov_22.155827.26	29.649
NODE_1_length_1422962_cov_22.155827.27	28.570
NODE_1_length_1422962_cov_22.155827.28	28.779
NODE_1_length_1422962_cov_22.155827.29	29.195
NODE_1_length_1422962_cov_22.155827.30	28.897
NODE_1_length_1422962_cov_22.155827.31	29.197
NODE_1_length_1422962_cov_22.155827.32	28.353
NODE_1_length_1422962_cov_22.155827.33	28.796
NODE_1_length_1422962_cov_22.155827.34	28.280
NODE_1_length_1422962_cov_22.155827.35	29.173
NODE_1_length_1422962_cov_22.155827.36	27.346
NODE_1_length_1422962_cov_22.155827.37	27.759
NODE_1_length_1422962_cov_22.155827.38	27.508
NODE_1_length_1422962_cov_22.155827.39	29.879
NODE_1_length_1422962_cov_22.155827.40	29.221
NODE_1_length_1422962_cov_22.155827.41	27.974
NODE_1_length_1422962_cov_22.155827.42	28.981
NODE_1_length_1422962_cov_22.155827.43	28.906
NODE_1_length_1422962_cov_22.155827.44	27.584
NODE_1_length_1422962_cov_22.155827.45	28.305
NODE_1_length_1422962_cov_22.155827.46	30.192
NODE_1_length_1422962_cov_22.155827.47	29.146
NODE_1_length_1422962_cov_22.155827.48	29.433
NODE_1_length_1422962_cov_22.155827.49	28.042
NODE_1_length_1422962_cov_22.155827.50	26.520
NODE_1_length_1422962_cov_22.155827.51	27.447
NODE_1_length_1422962_cov_22.155827.52	27.174
NODE_1_length_1422962_cov_22.155827.53	27.629
NODE_1_length_1422962_cov_22.155827.54	27.549
NODE_1_length_1422962_cov_22.155827.55	29.458
NODE_1_length_1422962_cov_22.155827.56	27.274
NODE_1_length_1422962_cov_22.155827.57	27.460
NODE_1_length_1422962_cov_22.155827.58	27.877
NODE_1_length_1422962_cov_22.155827.59	28.104
NODE_1_length_1422962_cov_22.155827.60	28.413
NODE_1_length_1422962_cov_22.155827.61	28.492
NODE_1_length_1422962_cov_22.155827.62	27.992
NODE_1_length_1422962_cov_22.155827.63	29.444
NODE_1_length_1422962_cov_22.155827.64	28.571
NODE_1_length_1422962_cov_22.155827.65	29.285
NODE_1_length_1422962_cov_22.155827.66	29.370
NODE_1_length_1422962_cov_22.155827.67	28.703
NODE_1_length_1422962_cov_22.155827.68	28.762
NODE_1_length_1422962_cov_22.155827.69	31.295
NODE_1_length_1422962_cov_22.155827.70	31.039
NODE_1_length_1422962_cov_22.155827.71	28.600
NODE_1_length_1422962_cov_22.155827.72	30.612
NODE_1_length_1422962_cov_22.155827.73	28.576
NODE_1_length_1422962_cov_22.155827.74	28.186
NODE_1_length_1422962_cov_22.155827.75	29.839
NODE_1_length_1422962_cov_22.155827.76	28.926
NODE_1_length_1422962_cov_22.155827.77	28.261
NODE_1_length_1422962_cov_22.155827.78	29.879
NODE_1_length_1422962_cov_22.155827.79	30.392
NODE_1_length_1422962_cov_22.155827.80	27.027
NODE_1_length_1422962_cov_22.155827.81	29.509
NODE_1_length_1422962_cov_22.155827.82	30.067
NODE_1_length_1422962_cov_22.155827.83	29.481
NODE_1_length_1422962_cov_22.155827.84	30.088
NODE_1_length_1422962_cov_22.155827.85	29.239
NODE_1_length_1422962_cov_22.155827.86	29.905
NODE_1_length_1422962_cov_22.155827.87	28.427
NODE_1_length_1422962_cov_22.155827.88	27.181
NODE_1_length_1422962_cov_22.155827.89	29.566
NODE_1_length_1422962_cov_22.155827.90	26.277
NODE_1_length_1422962_cov_22.155827.91	30.737
NODE_1_length_1422962_cov_22.155827.92	29.906
NODE_1_length_1422962_cov_22.155827.93	30.549
NODE_1_length_1422962_cov_22.155827.94	26.953
NODE_1_length_1422962_cov_22.155827.95	30.303
NODE_1_length_1422962_cov_22.155827.96	29.506
NODE_1_length_1422962_cov_22.155827.97	30.338
NODE_1_length_1422962_cov_22.155827.98	28.447
NODE_1_length_1422962_cov_22.155827.99	29.784
NODE_1_length_1422962_cov_22.155827.100	30.343
NODE_1_length_1422962_cov_22.155827.101	30.151
NODE_1_length_1422962_cov_22.155827.102	28.957
NODE_1_length_1422962_cov_22.155827.103	27.230
NODE_1_length_1422962_cov_22.155827.104	29.434
NODE_1_length_1422962_cov_22.155827.105	28.401
NODE_1_length_1422962_cov_22.155827.106	27.902
NODE_1_length_1422962_cov_22.155827.107	28.107
NODE_1_length_1422962_cov_22.155827.108	28.524
NODE_1_length_1422962_cov_22.155827.109	29.182
NODE_1_length_1422962_cov_22.155827.110	27.437
NODE_1_length_1422962_cov_22.155827.111	28.698
NODE_1_length_1422962_cov_22.155827.112	29.538
NODE_1_length_1422962_cov_22.155827.113	27.297
NODE_1_length_1422962_cov_22.155827.114	30.709
NODE_1_length_1422962_cov_22.155827.115	26.615
NODE_1_length_1422962_cov_22.155827.116	26.448
NODE_1_length_1422962_cov_22.155827.117	27.567
NODE_1_length_1422962_cov_22.155827.118	30.009
NODE_1_length_1422962_cov_22.155827.119	28.096
NODE_1_length_1422962_cov_22.155827.120	30.591
NODE_1_length_1422962_cov_22.155827.121	30.164
NODE_1_length_1422962_cov_22.155827.122	26.421
NODE_1_length_1422962_cov_22.155827.123	28.572
NODE_1_length_1422962_cov_22.155827.124	26.786
NODE_1_length_1422962_cov_22.155827.125	26.341
NODE_1_length_1422962_cov_22.155827.126	26.796
NODE_1_length_1422962_cov_22.155827.127	28.178
