contigName	contigLen	totalAvgDepth	idba_ud_perc100_sorted.bam	idba_ud_perc100_sorted.bam-var
contig-100_0	606696	14.6888	14.6888	14.3276
contig-100_1	522556	25.5919	25.5919	26.23
contig-100_2	509611	25.7224	25.7224	25.695
contig-100_3	472259	25.4782	25.4782	25.7062
contig-100_4	438296	10.5466	10.5466	10.1857
contig-100_5	436791	10.5446	10.5446	10.1565
contig-100_6	425197	14.852	14.852	14.8424
contig-100_7	408662	14.922	14.922	15.7446
contig-100_8	348325	14.656	14.656	14.426
contig-100_9	337881	14.9167	14.9167	14.7305
contig-100_10	318561	10.6103	10.6103	10.8523
contig-100_11	316717	15.0353	15.0353	14.9752
contig-100_12	292173	25.1188	25.1188	22.9595
contig-100_13	273229	23.1915	23.1915	25.0069
contig-100_14	268684	10.7426	10.7426	11.3322
contig-100_15	268157	10.6363	10.6363	10.6602
contig-100_16	263462	10.6176	10.6176	11.1326
contig-100_17	255328	14.6974	14.6974	15.1667
contig-100_18	251242	23.3645	23.3645	24.2026
contig-100_19	249244	25.5751	25.5751	25.2067
contig-100_20	245372	15.0655	15.0655	14.3127
contig-100_21	228810	14.786	14.786	15.5229
contig-100_22	227816	10.5062	10.5062	9.84344
contig-100_23	224882	15.0162	15.0162	14.8547
contig-100_24	217227	23.2518	23.2518	22.0483
contig-100_25	214364	10.9149	10.9149	11.4722
contig-100_26	211181	15.2035	15.2035	15.7902
contig-100_27	203888	23.5316	23.5316	26.0637
contig-100_28	199885	25.5513	25.5513	27.2468
contig-100_29	197051	23.3409	23.3409	25.4712
contig-100_30	192566	10.5764	10.5764	10.73
contig-100_31	188608	10.8099	10.8099	10.1101
contig-100_32	185373	25.407	25.407	28.3774
contig-100_33	185038	25.4462	25.4462	28.3265
contig-100_34	184147	14.739	14.739	15.1508
contig-100_35	182118	10.6305	10.6305	10.1571
contig-100_36	178752	23.3886	23.3886	23.5721
contig-100_37	177449	14.9894	14.9894	14.8012
contig-100_38	176266	23.1999	23.1999	23.7291
contig-100_39	174371	23.2633	23.2633	23.7427
contig-100_40	174120	14.8781	14.8781	13.6815
contig-100_41	173529	25.4765	25.4765	25.4842
contig-100_42	169423	21.3579	21.3579	21.6762
contig-100_43	166417	10.5783	10.5783	11.1311
contig-100_44	166403	10.4343	10.4343	10.8396
