assembler,binner,bin,nts
idba_ud,maxbin2,idba_ud_all.001.fasta,3319970
idba_ud,maxbin2,idba_ud_all.002.fasta,7319969
idba_ud,maxbin2,idba_ud_all.003.fasta,5433293
idba_ud,maxbin2,idba_ud_all.004.fasta,5410685
idba_ud,maxbin2,idba_ud_all.005.fasta,1625679
idba_ud,maxbin2,idba_ud_all.006.fasta,5537604
idba_ud,maxbin2,idba_ud_all.007.fasta,3268349
idba_ud,maxbin2,idba_ud_all.008.fasta,3082769
idba_ud,maxbin2,idba_ud_all.009.fasta,3252152
idba_ud,maxbin2,idba_ud_all.010.fasta,4380264
idba_ud,maxbin2,idba_ud_all.011.fasta,2276229
idba_ud,maxbin2,idba_ud_all.012.fasta,2924717
idba_ud,maxbin2,idba_ud_all.013.fasta,2632227
idba_ud,maxbin2,idba_ud_all.014.fasta,4142716
idba_ud,maxbin2,idba_ud_all.015.fasta,3581271
idba_ud,maxbin2,idba_ud_all.016.fasta,2672406
idba_ud,maxbin2,idba_ud_all.017.fasta,2198631
idba_ud,maxbin2,idba_ud_all.018.fasta,3371917
idba_ud,maxbin2,idba_ud_all.019.fasta,5075800
idba_ud,maxbin2,idba_ud_all.020.fasta,3143256
metaspades,maxbin2,metaspades_all.001.fasta,3353604
metaspades,maxbin2,metaspades_all.002.fasta,7730277
metaspades,maxbin2,metaspades_all.003.fasta,1696930
metaspades,maxbin2,metaspades_all.004.fasta,5321575
metaspades,maxbin2,metaspades_all.005.fasta,4087396
metaspades,maxbin2,metaspades_all.006.fasta,5070938
metaspades,maxbin2,metaspades_all.007.fasta,4668036
metaspades,maxbin2,metaspades_all.008.fasta,5485040
metaspades,maxbin2,metaspades_all.009.fasta,4190273
metaspades,maxbin2,metaspades_all.010.fasta,4993753
metaspades,maxbin2,metaspades_all.011.fasta,5597823
metaspades,maxbin2,metaspades_all.012.fasta,2629638
metaspades,maxbin2,metaspades_all.013.fasta,3528615
metaspades,maxbin2,metaspades_all.014.fasta,5612952
metaspades,maxbin2,metaspades_all.015.fasta,2999712
metaspades,maxbin2,metaspades_all.016.fasta,6109488
metaspades,maxbin2,metaspades_all.017.fasta,3492612
metaspades,maxbin2,metaspades_all.018.fasta,5971780
metaspades,maxbin2,metaspades_all.019.fasta,5049412
megahit,maxbin2,megahit_all.001.fasta,3334547
megahit,maxbin2,megahit_all.002.fasta,3012047
megahit,maxbin2,megahit_all.003.fasta,4894455
megahit,maxbin2,megahit_all.004.fasta,5134952
megahit,maxbin2,megahit_all.005.fasta,7084362
megahit,maxbin2,megahit_all.006.fasta,1801687
megahit,maxbin2,megahit_all.007.fasta,5173734
megahit,maxbin2,megahit_all.008.fasta,3934834
megahit,maxbin2,megahit_all.009.fasta,5739059
megahit,maxbin2,megahit_all.010.fasta,2591032
megahit,maxbin2,megahit_all.011.fasta,3178584
megahit,maxbin2,megahit_all.012.fasta,3262205
megahit,maxbin2,megahit_all.013.fasta,5382915
megahit,maxbin2,megahit_all.014.fasta,2867315
megahit,maxbin2,megahit_all.015.fasta,2395518
megahit,maxbin2,megahit_all.016.fasta,4798919
