	species	NumGI	GIBase	RepSize	Proportion	NumChromosome	NumPlasmid	BioSampleID
0	Octadecabacter antarcticus	32.0	801657.0	4812600.0	16.657461663134274	1	1	SAMN02603621
1	Roseburia hominis	11.0	588483.0	3592125.0	16.38258690886314	1	0	SAMN02604129
2	Paraburkholderia rhizoxinica	15.0	444186.0	2755309.0	16.121095673842753	1	2	SAMEA2272497
3	Octadecabacter arcticus	42.0	788331.0	5200279.0	15.159398178443887	1	2	SAMN02603620
4	Geobacillus sp. Y4.1MC1	21.0	581421.0	3840330.0	15.139870792353783	1	1	SAMN00002562
5	Acetobacter pasteurianus	20.5	414314.0	2835299.5	14.628874290701228	4	9	SAMN06855882,SAMN04605654,SAMN04605655,SAMN07125917
6	Wolbachia endosymbiont of Cimex lectularius	12.0	180785.0	1250060.0	14.462105818920692	1	0	SAMD00061059
7	Aromatoleum aromaticum	21.0	621300.0	4296230.0	14.46151625960435	1	2	SAMEA3138218
8	Geobacillus sp. WCH70	16.0	493772.0	3464618.0	14.251845369388487	1	2	SAMN00000635
9	Candidatus Paracaedibacter acanthamoebae	9.0	351920.0	2470036.0	14.24756562252534	1	1	SAMN02911856
10	Magnetospirillum gryphiswaldense	20.0	621750.0	4365796.0	14.241389199128864	3	0	SAMEA3138838,SAMN08409115,SAMN08574416
11	Erythrobacter atlanticus	11.0	423065.0	3012400.0	14.044117647058824	1	1	SAMN03565637
12	Streptococcus constellatus	7.333333333333333	273089.3333333333	1954077.3333333333	13.962540283315674	3	0	SAMN02603657,SAMN02603661,SAMN02603660
13	Halocynthiibacter arcticus	20.0	604043.0	4329554.0	13.951621806772707	1	1	SAMN03252591
14	Magnetococcus marinus	12.0	654027.0	4719581.0	13.85773440481263	1	0	SAMN02598452
15	Rhodobacter sp. LPB0142	9.0	466278.0	3462926.0	13.46485602060223	1	3	SAMN05726021
16	Thiocystis violascens	24.0	675404.0	5017071.0	13.462117637960475	1	0	SAMN02232062
17	Caldicellulosiruptor kristjanssonii	10.0	371885.0	2786473.0	13.346083023234032	1	1	SAMN00713564
18	Prevotella enoeca	10.0	380912.0	2861432.0	13.311936121494412	1	0	SAMN04260158
19	Geobacillus stearothermophilus	24.0	484673.0	3654829.0	13.261167622342933	2	1	SAMN04012428,SAMN05300636
20	Parvularcula bermudensis	4.0	380029.0	2902643.0	13.092516027634126	1	0	SAMN02603918
21	Nitrobacter winogradskyi	22.0	444570.0	3402093.0	13.067544008938027	1	0	SAMN02598308
22	Wolbachia sp. wRi	11.0	188891.0	1445873.0	13.064148787618276	1	0	SAMN02603205
23	Caldicellulosiruptor saccharolyticus	17.0	386530.0	2970275.0	13.013273181776098	1	0	SAMN00623033
