contigName	contigLen	totalAvgDepth	metaspades_perc100_sorted.bam	metaspades_perc100_sorted.bam-var
NODE_1_length_1422962_cov_22.155827	1.42296e+06	25.6093	25.6093	25.7736
NODE_2_length_1182245_cov_12.544720	1.18224e+06	14.8973	14.8973	15.2097
NODE_3_length_1094599_cov_12.696194	1.0946e+06	14.9943	14.9943	15.0221
NODE_4_length_676421_cov_238.222706	676421	273.418	273.418	334.315
NODE_5_length_553228_cov_12.779018	553228	14.9965	14.9965	14.8114
NODE_6_length_544839_cov_12.462009	544839	14.7629	14.7629	14.848
NODE_7_length_519781_cov_232.808216	519781	271.182	271.182	275.667
NODE_8_length_458479_cov_21.861532	458479	25.0761	25.0761	24.0606
NODE_9_length_445722_cov_53.254340	445722	59.0706	59.0706	70.1569
NODE_10_length_440740_cov_12.582731	440740	14.8345	14.8345	15.0509
NODE_11_length_418483_cov_20.520577	418483	23.5675	23.5675	24.9198
NODE_12_length_399897_cov_12.584588	399897	14.5446	14.5446	13.9959
NODE_13_length_397032_cov_20.691017	397032	23.5017	23.5017	25.3146
NODE_14_length_355236_cov_7.063404	355236	8.53416	8.53416	9.17071
NODE_15_length_353216_cov_9.234845	353216	10.6934	10.6934	10.5923
NODE_16_length_349605_cov_12.685024	349605	14.9979	14.9979	15.1819
NODE_17_length_340246_cov_9.109656	340246	10.5543	10.5543	10.2282
NODE_18_length_339375_cov_12.325875	339375	14.6637	14.6637	14.4643
NODE_19_length_339291_cov_9.238383	339291	10.79	10.79	11.4157
NODE_20_length_327952_cov_9.181200	327952	10.5822	10.5822	10.2199
NODE_21_length_325868_cov_130.599479	325868	150.477	150.477	167.344
NODE_22_length_318190_cov_12.708501	318190	14.6534	14.6534	16.5983
NODE_23_length_308093_cov_132.168966	308093	151.31	151.31	167.665
NODE_24_length_296378_cov_12.525602	296378	14.7534	14.7534	15.3936
NODE_25_length_292373_cov_7.313987	292373	8.6881	8.6881	8.6924
NODE_26_length_290705_cov_241.866558	290705	272.817	272.817	382.219
NODE_27_length_284812_cov_103.080082	284812	116.502	116.502	135.804
NODE_28_length_284397_cov_12.349435	284397	14.5876	14.5876	14.5457
NODE_29_length_283526_cov_6.922899	283526	8.2908	8.2908	8.51272
NODE_30_length_271712_cov_232.428971	271712	271.19	271.19	288.97
NODE_31_length_269740_cov_9.147698	269740	10.5383	10.5383	10.7268
NODE_32_length_257775_cov_131.653403	257775	151.324	151.324	181.8
NODE_33_length_255749_cov_9.176629	255749	10.5007	10.5007	11.0689
NODE_34_length_251144_cov_12.423746	251144	14.7668	14.7668	14.4103
NODE_35_length_250480_cov_7.054499	250480	8.44536	8.44536	8.38676
NODE_36_length_250225_cov_20.229884	250225	23.3824	23.3824	24.1666
NODE_37_length_247980_cov_12.697005	247980	14.8399	14.8399	14.4625
NODE_38_length_247391_cov_22.131865	247391	25.6076	25.6076	25.1024
NODE_39_length_243815_cov_132.286798	243815	150.964	150.964	159.534
NODE_40_length_242853_cov_9.080050	242853	10.5233	10.5233	10.9434
NODE_41_length_242439_cov_240.535881	242439	274.485	274.485	353.778
NODE_42_length_242322_cov_19.120949	242322	21.1277	21.1277	22.3772
NODE_43_length_240360_cov_12.407686	240360	14.7781	14.7781	14.4685
NODE_44_length_240061_cov_240.464751	240061	270.502	270.502	751.738
NODE_45_length_238223_cov_101.279861	238223	116.915	116.915	134.259
NODE_46_length_234124_cov_20.270459	234124	23.332	23.332	25.0382
NODE_47_length_219588_cov_53.381956	219588	60.6227	60.6227	66.3125
NODE_48_length_219486_cov_19.285844	219486	21.1339	21.1339	22.9021
NODE_49_length_219178_cov_50.733615	219178	59.2315	59.2315	68.1247
NODE_50_length_217751_cov_22.400062	217751	25.6159	25.6159	25.844
NODE_51_length_217139_cov_20.250276	217139	23.2542	23.2542	22.0307
NODE_52_length_216709_cov_234.837843	216709	271.984	271.984	341.423
NODE_53_length_215331_cov_19.867435	215331	21.039	21.039	22.7294
NODE_54_length_213119_cov_7.084759	213119	8.52424	8.52424	8.37518
NODE_55_length_209989_cov_7.260772	209989	8.72762	8.72762	9.11576
NODE_56_length_208811_cov_101.580041	208811	116.052	116.052	113.925
