Accession_number	Start	End	Prediction_method
NC_009925	56869	63222	Dimob
NC_009925	218881	233924	Dimob
NC_009925	464993	473932	Dimob
NC_009925	1002828	1011815	Dimob
NC_009925	1290056	1336215	Dimob
NC_009925	1569274	1587637	Dimob
NC_009925	1620586	1638289	Dimob
NC_009925	2086115	2092105	Dimob
NC_009925	2267634	2279637	Dimob
NC_009925	2402873	2413127	Dimob
NC_009925	2708122	2715124	Dimob
NC_009925	3044185	3051279	Dimob
NC_009925	3213896	3247946	Dimob
NC_009925	3305527	3321610	Dimob
NC_009925	3395087	3409654	Dimob
NC_009925	3737122	3758005	Dimob
NC_009925	3912558	3920405	Dimob
NC_009925	4217056	4222515	Dimob
NC_009925	4244335	4254493	Dimob
NC_009925	4307981	4324020	Dimob
NC_009925	5350419	5358611	Dimob
NC_009925	5710148	5724434	Dimob
NC_009925	5737095	5748507	Dimob
NC_009925	5888612	5908187	Dimob
NC_009925	5965747	5980219	Dimob
NC_009925	6059550	6069040	Dimob
NC_009925	6104458	6111198	Dimob
NC_009925	6189094	6211620	Dimob
NC_009925	6222933	6348626	Dimob
NC_013209	168917	202426	Dimob
NC_013209	276160	282210	Dimob
NC_013209	502186	567461	Dimob
NC_013209	850782	884979	Dimob
NC_013209	1497521	1505911	Dimob
NC_013209	1518086	1536235	Dimob
NC_013209	1711853	1718664	Dimob
NC_013209	1918089	1980248	Dimob
NC_013209	2026602	2046969	Dimob
NC_013209	2176960	2214934	Dimob
NC_013209	2353336	2362237	Dimob
NC_013209	2475615	2486606	Dimob
NC_013209	2580267	2607185	Dimob
NC_013209	2785301	2795725	Dimob
NC_013209	2895574	2904483	Dimob
NC_017100	168917	202426	Dimob
NC_017100	276160	282210	Dimob
NC_017100	502180	567455	Dimob
NC_017100	850776	884973	Dimob
NC_017100	1498532	1506922	Dimob
NC_017100	1519097	1537246	Dimob
NC_017100	1919076	1982903	Dimob
NC_017100	2029257	2049609	Dimob
NC_017100	2179600	2217556	Dimob
NC_017100	2355958	2364859	Dimob
NC_017100	2476822	2487813	Dimob
NC_017100	2581474	2608392	Dimob
NC_017100	2785093	2795517	Dimob
NC_017100	2895366	2904275	Dimob
NC_017121	168917	202426	Dimob
NC_017121	276160	282210	Dimob
NC_017121	502180	567455	Dimob
NC_017121	850776	884973	Dimob
NC_017121	1497515	1505905	Dimob
NC_017121	1518080	1536229	Dimob
NC_017121	1918071	1980230	Dimob
NC_017121	2026584	2046951	Dimob
NC_017121	2176942	2214898	Dimob
NC_017121	2353300	2362201	Dimob
NC_017121	2474164	2485155	Dimob
NC_017121	2578816	2605734	Dimob
NC_017121	2783850	2794274	Dimob
NC_017121	2894123	2903032	Dimob
NC_017125	168917	202426	Dimob
NC_017125	276160	282210	Dimob
NC_017125	502180	567455	Dimob
NC_017125	850776	884973	Dimob
NC_017125	1498532	1506922	Dimob
NC_017125	1519097	1537246	Dimob
NC_017125	1919070	1982898	Dimob
NC_017125	2029252	2049589	Dimob
NC_017125	2179580	2217536	Dimob
NC_017125	2355938	2364839	Dimob
NC_017125	2476802	2487793	Dimob
NC_017125	2581454	2608372	Dimob
NC_017125	2785073	2795497	Dimob
NC_017125	2895346	2904255	Dimob
NC_017146	168917	202426	Dimob
NC_017146	276160	282210	Dimob
NC_017146	502180	567455	Dimob
NC_017146	850776	884973	Dimob
NC_017146	1498532	1506922	Dimob
NC_017146	1519097	1537246	Dimob
NC_017146	1919082	1982910	Dimob
NC_017146	2029264	2049631	Dimob
NC_017146	2179622	2217578	Dimob
NC_017146	2355980	2364881	Dimob
NC_017146	2476844	2487835	Dimob
NC_017146	2581496	2608414	Dimob
NC_017146	2785115	2795539	Dimob
NC_017146	2895388	2904297	Dimob
NC_017111	168917	202426	Dimob
NC_017111	276160	282210	Dimob
NC_017111	502180	567455	Dimob
NC_017111	850776	884973	Dimob
NC_017111	1497515	1505905	Dimob
NC_017111	1518080	1536229	Dimob
NC_017111	1918059	1980218	Dimob
NC_017111	2026572	2046964	Dimob
NC_017111	2176955	2214911	Dimob
NC_017111	2353313	2362214	Dimob
NC_017111	2474177	2485168	Dimob
NC_017111	2578829	2605747	Dimob
NC_017111	2782448	2792872	Dimob
NC_017111	2892721	2901630	Dimob
NC_017150	168917	202426	Dimob
NC_017150	276160	282898	Dimob
NC_017150	502186	567461	Dimob
NC_017150	850782	884979	Dimob
NC_017150	1619599	1626410	Dimob
NC_017150	1825835	1887994	Dimob
NC_017150	1934348	1954715	Dimob
NC_017150	2084706	2122680	Dimob
NC_017150	2259620	2269983	Dimob
NC_017150	2383361	2394352	Dimob
NC_017150	2487507	2521984	Dimob
NC_017150	2693047	2703471	Dimob
NC_017150	2803320	2812229	Dimob
NC_017108	168917	202426	Dimob
NC_017108	276160	282210	Dimob
NC_017108	502180	567455	Dimob
NC_017108	850776	884973	Dimob
NC_017108	1497515	1505905	Dimob
NC_017108	1518080	1536229	Dimob
NC_017108	1711847	1718658	Dimob
NC_017108	1918071	1980230	Dimob
NC_017108	2026584	2046946	Dimob
NC_017108	2176937	2214893	Dimob
NC_017108	2353295	2362196	Dimob
NC_017108	2474159	2485150	Dimob
NC_017108	2578811	2612782	Dimob
NC_017108	2782430	2792854	Dimob
NC_017108	2892703	2901612	Dimob
NZ_AP014881	162472	186374	Dimob
NZ_AP014881	487208	538243	Dimob
NZ_AP014881	808957	830447	Dimob
NZ_AP014881	1249079	1271827	Dimob
NZ_AP014881	1504225	1554103	Dimob
NZ_AP014881	1723865	1842034	Dimob
NZ_AP014881	2019448	2051021	Dimob
NZ_AP014881	2232308	2264554	Dimob
NZ_AP014881	2793118	2802899	Dimob
NC_021991	222215	236988	Dimob
NC_021991	249005	298158	Dimob
NC_021991	366000	407158	Dimob
NC_021991	466665	477310	Dimob
NC_021991	713367	724519	Dimob
NC_021991	733863	754707	Dimob
NC_021991	1451096	1460877	Dimob
NC_021991	1722841	1768180	Dimob
NC_021991	2056297	2125132	Dimob
NC_021991	2391889	2416466	Dimob
NZ_CP012111	51948	67636	Dimob
NZ_CP012111	336394	350138	Dimob
NZ_CP012111	386232	392677	Dimob
NZ_CP012111	485587	492321	Dimob
NZ_CP012111	829235	853503	Dimob
NZ_CP012111	1018374	1026822	Dimob
NZ_CP012111	1182101	1197791	Dimob
NZ_CP012111	1326693	1434354	Dimob
NZ_CP012111	1450617	1459713	Dimob
NZ_CP012111	2245635	2258512	Dimob
NZ_CP012111	2273434	2291329	Dimob
NZ_CP012111	2394230	2435743	Dimob
NZ_CP012111	2733126	2785853	Dimob
NZ_CP015164	128656	164559	Dimob
NZ_CP015164	431546	443814	Dimob
NZ_CP015164	926933	932782	Dimob
NZ_CP015164	990217	1019819	Dimob
NZ_CP015164	1044502	1088157	Dimob
NZ_CP015164	1187000	1192912	Dimob
NZ_CP015164	1229260	1244603	Dimob
NZ_CP015164	1255014	1261966	Dimob
NZ_CP015164	1469245	1494024	Dimob
NZ_CP015164	1561188	1569140	Dimob
NZ_CP015164	1735329	1754034	Dimob
NZ_CP015164	1791463	1827570	Dimob
NZ_CP015164	1880175	1919983	Dimob
NZ_CP015164	1976762	2001534	Dimob
NZ_CP015164	2006537	2012500	Dimob
NZ_CP015164	2152335	2175678	Dimob
NZ_CP015164	2369314	2385386	Dimob
NZ_CP015164	2650404	2656515	Dimob
NZ_CP015164	2844669	2850603	Dimob
NZ_CP015168	12204	20948	Dimob
NZ_CP015168	110363	122663	Dimob
NZ_CP015168	135322	147294	Dimob
